Precinct Name,Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Heather Cracraft,381
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Ryan Hitchler,273
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Claire Dixon,369
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Ryan Welch,290
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Jeff Chu,362
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Sean Maday,259
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Clint Folsom,387
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Chris Hanson,300
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Stephanie Schader,271
2181207100,1535.0,778,Town of Superior - Home Rule Charter Commission,Mike Foster,272
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,358
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,164
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,76
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,276
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,178
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,179
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,326
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,110
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,172
"2181207100,2151207700",2815.0,786,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,243
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,345
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,165
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,98
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,287
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,141
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,197
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,307
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,104
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,161
2181207101,1340.0,679,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,243
2181207101,1340.0,679,Proposition HH (Statutory),Yes,404
2181207101,1340.0,679,Proposition HH (Statutory),No,267
2181207101,1340.0,679,Proposition II (Statutory),Yes,562
2181207101,1340.0,679,Proposition II (Statutory),No,109
2181207101,1340.0,679,Boulder County Ballot Issue 1A,Yes,576
2181207101,1340.0,679,Boulder County Ballot Issue 1A,No,93
2181207101,1340.0,679,Boulder County Ballot Issue 1B,Yes,469
2181207101,1340.0,679,Boulder County Ballot Issue 1B,No,198
2181207101,1340.0,679,Town of Superior Ballot Question 301,Yes,417
2181207101,1340.0,679,Town of Superior Ballot Question 301,No,200
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Dalton Valette,250
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Heather Cracraft,323
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Ryan Hitchler,256
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Claire Dixon,346
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Ryan Welch,261
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Jeff Chu,318
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Sean Maday,255
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Clint Folsom,360
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Chris Hanson,254
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Stephanie Schader,245
2181207101,1340.0,679,Town of Superior - Home Rule Charter Commission,Mike Foster,298
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,95
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,82
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,23
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,108
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,48
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,79
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,98
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,32
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,54
2181207102,1154.0,249,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,88
2181207102,1154.0,249,Proposition HH (Statutory),Yes,150
2181207102,1154.0,249,Proposition HH (Statutory),No,96
2181207102,1154.0,249,Proposition II (Statutory),Yes,216
2181207102,1154.0,249,Proposition II (Statutory),No,33
2181207102,1154.0,249,Boulder County Ballot Issue 1A,Yes,211
2181207102,1154.0,249,Boulder County Ballot Issue 1A,No,33
2181207102,1154.0,249,Boulder County Ballot Issue 1B,Yes,203
2181207102,1154.0,249,Boulder County Ballot Issue 1B,No,43
2181207102,1154.0,249,Town of Superior Ballot Question 301,Yes,106
2181207102,1154.0,249,Town of Superior Ballot Question 301,No,107
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Dalton Valette,74
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Heather Cracraft,87
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Ryan Hitchler,62
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Claire Dixon,98
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Ryan Welch,68
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Jeff Chu,90
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Sean Maday,55
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Clint Folsom,79
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Chris Hanson,61
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Stephanie Schader,67
2181207102,1154.0,249,Town of Superior - Home Rule Charter Commission,Mike Foster,83
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,288
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,150
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,65
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,220
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,164
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,188
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,252
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,110
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,127
2181207103,1153.0,606,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,209
2181207103,1153.0,606,Proposition HH (Statutory),Yes,275
2181207103,1153.0,606,Proposition HH (Statutory),No,324
2181207103,1153.0,606,Proposition II (Statutory),Yes,471
2181207103,1153.0,606,Proposition II (Statutory),No,131
2181207103,1153.0,606,Boulder County Ballot Issue 1A,Yes,455
2181207103,1153.0,606,Boulder County Ballot Issue 1A,No,141
2181207103,1153.0,606,Boulder County Ballot Issue 1B,Yes,351
2181207103,1153.0,606,Boulder County Ballot Issue 1B,No,246
2181207103,1153.0,606,Town of Superior Ballot Question 301,Yes,336
2181207103,1153.0,606,Town of Superior Ballot Question 301,No,231
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Dalton Valette,202
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Heather Cracraft,300
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Ryan Hitchler,223
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Claire Dixon,297
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Ryan Welch,255
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Jeff Chu,310
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Sean Maday,178
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Clint Folsom,320
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Chris Hanson,225
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Stephanie Schader,197
2181207103,1153.0,606,Town of Superior - Home Rule Charter Commission,Mike Foster,251
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,272
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,112
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,65
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,211
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,132
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,150
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,221
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,99
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,130
2181207104,1058.0,546,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,161
2181207104,1058.0,546,Proposition HH (Statutory),Yes,251
2181207104,1058.0,546,Proposition HH (Statutory),No,287
2181207104,1058.0,546,Proposition II (Statutory),Yes,435
2181207104,1058.0,546,Proposition II (Statutory),No,106
2181207104,1058.0,546,Boulder County Ballot Issue 1A,Yes,417
2181207104,1058.0,546,Boulder County Ballot Issue 1A,No,121
2181207104,1058.0,546,Boulder County Ballot Issue 1B,Yes,334
2181207104,1058.0,546,Boulder County Ballot Issue 1B,No,204
2181207104,1058.0,546,Town of Superior Ballot Question 301,Yes,291
2181207104,1058.0,546,Town of Superior Ballot Question 301,No,198
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Dalton Valette,185
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Heather Cracraft,249
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Ryan Hitchler,186
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Claire Dixon,225
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Ryan Welch,202
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Jeff Chu,265
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Sean Maday,156
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Clint Folsom,269
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Chris Hanson,219
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Stephanie Schader,184
2181207104,1058.0,546,Town of Superior - Home Rule Charter Commission,Mike Foster,197
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,369
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,199
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,80
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,316
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,170
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,199
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,355
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,102
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,158
2181207105,1600.0,800,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,304
2181207105,1600.0,800,Proposition HH (Statutory),Yes,466
2181207105,1600.0,800,Proposition HH (Statutory),No,321
2181207105,1600.0,800,Proposition II (Statutory),Yes,671
2181207105,1600.0,800,Proposition II (Statutory),No,119
2181207105,1600.0,800,Boulder County Ballot Issue 1A,Yes,692
2181207105,1600.0,800,Boulder County Ballot Issue 1A,No,101
2181207105,1600.0,800,Boulder County Ballot Issue 1B,Yes,556
2181207105,1600.0,800,Boulder County Ballot Issue 1B,No,237
2181207105,1600.0,800,Town of Superior Ballot Question 301,Yes,457
2181207105,1600.0,800,Town of Superior Ballot Question 301,No,277
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Dalton Valette,337
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Heather Cracraft,363
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Ryan Hitchler,292
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Claire Dixon,367
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Ryan Welch,314
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Jeff Chu,396
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Sean Maday,240
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Clint Folsom,390
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Chris Hanson,293
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Stephanie Schader,285
2181207105,1600.0,800,Town of Superior - Home Rule Charter Commission,Mike Foster,315
2181207106,970.0,508,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,203
2181207106,970.0,508,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,149
2181207106,970.0,508,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,40
2181207106,970.0,508,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,192
2181207106,970.0,508,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,118
2181207106,970.0,508,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,143
2181207106,970.0,508,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,194
2181207106,970.0,508,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,59
2181207106,970.0,508,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,90
2181207106,970.0,508,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,200
2181207106,970.0,508,Proposition HH (Statutory),Yes,282
2181207106,970.0,508,Proposition HH (Statutory),No,218
2181207106,970.0,508,Proposition II (Statutory),Yes,446
2181207106,970.0,508,Proposition II (Statutory),No,53
2181207106,970.0,508,Boulder County Ballot Issue 1A,Yes,439
2181207106,970.0,508,Boulder County Ballot Issue 1A,No,63
2181207106,970.0,508,Boulder County Ballot Issue 1B,Yes,352
2181207106,970.0,508,Boulder County Ballot Issue 1B,No,144
2181207106,970.0,507,Town of Superior Ballot Question 301,Yes,333
2181207106,970.0,507,Town of Superior Ballot Question 301,No,130
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Dalton Valette,205
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Heather Cracraft,243
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Ryan Hitchler,231
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Claire Dixon,248
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Ryan Welch,188
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Jeff Chu,232
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Sean Maday,155
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Clint Folsom,229
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Chris Hanson,196
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Stephanie Schader,213
2181207106,970.0,507,Town of Superior - Home Rule Charter Commission,Mike Foster,256
2181207200,1134.0,698,City of Louisville City Council Ward 3,Dietrich Hoefner,230
2181207200,1134.0,698,City of Louisville City Council Ward 3,Barbara Hamlington,415
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,306
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,195
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,94
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,295
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,127
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,209
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,298
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,77
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,157
2181207200,1134.0,714,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,279
2181207200,1134.0,714,Proposition HH (Statutory),Yes,405
2181207200,1134.0,714,Proposition HH (Statutory),No,293
2181207200,1134.0,714,Proposition II (Statutory),Yes,608
2181207200,1134.0,714,Proposition II (Statutory),No,101
2181207200,1134.0,714,Boulder County Ballot Issue 1A,Yes,577
2181207200,1134.0,714,Boulder County Ballot Issue 1A,No,130
2181207200,1134.0,714,Boulder County Ballot Issue 1B,Yes,515
2181207200,1134.0,714,Boulder County Ballot Issue 1B,No,190
"2181207200,2181207500",2353.0,699,City of Louisville Mayor At-Large (4 Year Term),Sherry Sommer,192
"2181207200,2181207500",2353.0,699,City of Louisville Mayor At-Large (4 Year Term),Chris Leh,374
"2181207200,2181207500",2353.0,699,City of Louisville Mayor At-Large (4 Year Term),Josh Cooperman,102
"2181207200,2181207500",2353.0,699,City of Louisville Ballot Issue 2C,Yes,476
"2181207200,2181207500",2353.0,699,City of Louisville Ballot Issue 2C,No,212
2181207201,1103.0,585,City of Louisville Mayor At-Large (4 Year Term),Sherry Sommer,159
2181207201,1103.0,585,City of Louisville Mayor At-Large (4 Year Term),Chris Leh,302
2181207201,1103.0,585,City of Louisville Mayor At-Large (4 Year Term),Josh Cooperman,80
2181207201,1103.0,584,City of Louisville City Council Ward 3,Dietrich Hoefner,170
2181207201,1103.0,584,City of Louisville City Council Ward 3,Barbara Hamlington,335
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,251
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,155
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,63
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,231
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,136
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,158
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,256
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,81
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,143
2181207201,1103.0,585,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,193
2181207201,1103.0,585,Proposition HH (Statutory),Yes,329
2181207201,1103.0,585,Proposition HH (Statutory),No,241
2181207201,1103.0,585,Proposition II (Statutory),Yes,451
2181207201,1103.0,585,Proposition II (Statutory),No,109
2181207201,1103.0,585,Boulder County Ballot Issue 1A,Yes,458
2181207201,1103.0,585,Boulder County Ballot Issue 1A,No,108
2181207201,1103.0,585,Boulder County Ballot Issue 1B,Yes,393
2181207201,1103.0,585,Boulder County Ballot Issue 1B,No,170
2181207201,1103.0,585,City of Louisville Ballot Issue 2C,Yes,351
2181207201,1103.0,585,City of Louisville Ballot Issue 2C,No,213
"2181207201,2181207202",1779.0,458,City of Louisville City Council Ward 2 (4-year term),Deborah Fahey,184
"2181207201,2181207202",1779.0,458,City of Louisville City Council Ward 2 (4-year term),George Colbert,234
2181207202,676.0,457,City of Louisville Mayor At-Large (4 Year Term),Sherry Sommer,50
2181207202,676.0,457,City of Louisville Mayor At-Large (4 Year Term),Chris Leh,344
2181207202,676.0,457,City of Louisville Mayor At-Large (4 Year Term),Josh Cooperman,42
2181207202,676.0,460,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,223
2181207202,676.0,460,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,114
2181207202,676.0,460,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,37
2181207202,676.0,460,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,203
2181207202,676.0,460,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,94
2181207202,676.0,460,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,125
2181207202,676.0,460,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,209
2181207202,676.0,460,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,55
2181207202,676.0,460,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,101
2181207202,676.0,460,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,171
2181207202,676.0,460,Proposition HH (Statutory),Yes,262
2181207202,676.0,460,Proposition HH (Statutory),No,193
2181207202,676.0,460,Proposition II (Statutory),Yes,385
2181207202,676.0,460,Proposition II (Statutory),No,72
2181207202,676.0,460,Boulder County Ballot Issue 1A,Yes,374
2181207202,676.0,460,Boulder County Ballot Issue 1A,No,85
2181207202,676.0,460,Boulder County Ballot Issue 1B,Yes,278
2181207202,676.0,460,Boulder County Ballot Issue 1B,No,172
2181207202,676.0,457,City of Louisville Ballot Issue 2C,Yes,296
2181207202,676.0,457,City of Louisville Ballot Issue 2C,No,156
"2181207202,2181207500",1895.0,458,City of Louisville City Council Ward 2 (4-year term),Deborah Fahey,183
"2181207202,2181207500",1895.0,458,City of Louisville City Council Ward 2 (4-year term),George Colbert,234
2181207203,923.0,565,City of Louisville Mayor At-Large (4 Year Term),Sherry Sommer,134
2181207203,923.0,565,City of Louisville Mayor At-Large (4 Year Term),Chris Leh,323
2181207203,923.0,565,City of Louisville Mayor At-Large (4 Year Term),Josh Cooperman,70
2181207203,923.0,338,City of Louisville City Council Ward 2 (4-year term),Deborah Fahey,158
2181207203,923.0,338,City of Louisville City Council Ward 2 (4-year term),George Colbert,140
2181207203,923.0,227,City of Louisville City Council Ward 3,Dietrich Hoefner,87
2181207203,923.0,227,City of Louisville City Council Ward 3,Barbara Hamlington,145
2181207203,923.0,565,Boulder Valley School District RE-2 Director District A (4 Years),Jason Unger,254
2181207203,923.0,565,Boulder Valley School District RE-2 Director District A (4 Years),Neil Fishman,141
2181207203,923.0,565,Boulder Valley School District RE-2 Director District C (4 Years),Andrew Steffl,61
2181207203,923.0,565,Boulder Valley School District RE-2 Director District C (4 Years),Alex Medler,228
2181207203,923.0,565,Boulder Valley School District RE-2 Director District C (4 Years),Cynthia Nevison,107
2181207203,923.0,565,Boulder Valley School District RE-2 Director District D (4 Years),Andrew Brandt,139
2181207203,923.0,565,Boulder Valley School District RE-2 Director District D (4 Years),Lalenia Quinlan Aweida,248
2181207203,923.0,565,Boulder Valley School District RE-2 Director District G (4 Years),Anil Kiran Pesaramelli,62
2181207203,923.0,565,Boulder Valley School District RE-2 Director District G (4 Years),Stuart Lord,107
2181207203,923.0,565,Boulder Valley School District RE-2 Director District G (4 Years),Jorge Chávez,222
2181207203,923.0,565,Proposition HH (Statutory),Yes,327
2181207203,923.0,565,Proposition HH (Statutory),No,229
2181207203,923.0,565,Proposition II (Statutory),Yes,461
2181207203,923.0,565,Proposition II (Statutory),No,91
2181207203,923.0,565,Boulder County Ballot Issue 1A,Yes,452
2181207203,923.0,565,Boulder County Ballot Issue 1A,No,101
2181207203,923.0,565,Boulder County Ballot Issue 1B,Yes,401
2181207203,923.0,565,Boulder County Ballot Issue 1B,No,143
2181207203,923.0,565,City of Louisville Ballot Issue 2C,Yes,375
2181207203,923.0,565,City of Louisville Ballot Issue 2C,No,174
2181207204,1532.0,967,City of Louisville Mayor At-Large (4 Year Term),Sherry Sommer,228
